,,Val_Accuracy,Val_Accuracy,Val_Accuracy,Precision,Precision,Recall,Recall,Macro_F1,Macro_F1,AUC,AUC,ControlRecall,ControlRecall
,,mean,std,count,mean,std,mean,std,mean,std,mean,std,mean,std
Dataset,Model,,,,,,,,,,,,,
EMODB,ResNet50,0.0,0.0,8,0.962,0.026,0.957,0.024,0.959,0.025,0.997,0.003,0.998,0.005
EMODB,hybrid,0.0,0.0,8,0.983,0.009,0.978,0.011,0.98,0.01,0.999,0.001,0.997,0.007
EMODB,mobilenetv2,0.0,0.0,8,0.896,0.045,0.877,0.052,0.882,0.051,0.984,0.014,0.969,0.03
ESC50,ResNet50,0.0,0.0,5,0.85,0.012,0.839,0.011,0.837,0.011,0.992,0.001,0.769,0.052
ESC50,hybrid,0.0,0.0,5,0.93,0.007,0.927,0.007,0.926,0.007,0.998,0.001,0.925,0.072
ESC50,mobilenetv2,0.0,0.0,5,0.853,0.008,0.844,0.008,0.843,0.008,0.994,0.001,0.731,0.114
ITALIAN_PD,ResNet50,0.0,0.0,5,0.93,0.048,0.933,0.043,0.926,0.053,0.976,0.019,0.866,0.117
ITALIAN_PD,hybrid,0.0,0.0,5,0.93,0.061,0.928,0.064,0.922,0.076,0.969,0.048,0.853,0.13
ITALIAN_PD,mobilenetv2,0.0,0.0,5,0.938,0.066,0.939,0.068,0.93,0.081,0.983,0.019,0.898,0.16
PHYSIONET,ResNet50,0.0,0.0,5,0.891,0.009,0.888,0.023,0.889,0.013,0.943,0.012,0.956,0.012
PHYSIONET,hybrid,0.0,0.0,5,0.901,0.014,0.881,0.01,0.891,0.011,0.956,0.012,0.967,0.005
PHYSIONET,mobilenetv2,0.0,0.0,5,0.887,0.007,0.881,0.011,0.884,0.008,0.935,0.006,0.945,0.019
PITT,ResNet50,0.0,0.0,5,0.617,0.007,0.621,0.003,0.615,0.009,0.634,0.018,0.537,0.037
PITT,hybrid,0.0,0.0,5,0.628,0.027,0.632,0.026,0.627,0.029,0.662,0.026,0.573,0.039
PITT,mobilenetv2,0.0,0.0,5,0.628,0.017,0.633,0.014,0.628,0.017,0.673,0.025,0.577,0.042
