Dataset,Model,Seed,Val_Accuracy,Precision,Recall,Macro_F1,AUC,ControlRecall,Run
EMODB,hybrid,42,0,0.9738609729606128,0.9647014361300076,0.9684412290340564,0.9972546093142413,0.9935897435897436,
EMODB,hybrid,42,0,0.9885148161820504,0.9871740362811792,0.9878126284971521,0.9995715011190408,1.0,
EMODB,hybrid,42,0,0.970651930875443,0.9670711233211234,0.9686355128202092,0.9993150310661453,1.0,
EMODB,hybrid,42,0,0.9723998998217548,0.9639796089375922,0.9668402222399396,0.9982362692082922,1.0,
EMODB,hybrid,42,0,0.9923007559188058,0.9925170068027211,0.9923767299354529,0.9994394552112945,1.0,
EMODB,hybrid,123,0,0.985471564217774,0.9820956160241874,0.983548986056739,0.9995190737512771,1.0,
EMODB,hybrid,42,0,0.988591176906189,0.985526048026048,0.9868185613716377,0.9998427398626726,0.9807692307692307,
EMODB,hybrid,999,0,0.9886274200800012,0.9837962962962964,0.9858446693896808,0.9996966322502585,1.0,
EMODB,mobilenetv2,42,0,0.8913193034554107,0.8781578870864585,0.8831443999511226,0.98862417294714,0.9807692307692307,
EMODB,mobilenetv2,42,0,0.891644828389004,0.8581639920925637,0.8670061587257154,0.9881342516108996,1.0,
EMODB,mobilenetv2,42,0,0.859813553612978,0.8426868567939997,0.8470838173519534,0.9831359961157883,0.9466666666666667,
EMODB,mobilenetv2,42,0,0.8149789883667292,0.7883387842316413,0.7934770846256635,0.9519802714562926,0.9133333333333333,
EMODB,mobilenetv2,42,0,0.9046311445981285,0.8894047619047619,0.8930818542502544,0.9832006272511629,0.9533333333333334,
EMODB,mobilenetv2,123,0,0.963231205197461,0.9598922902494331,0.9608164942832672,0.9981084716694262,1.0,
EMODB,mobilenetv2,42,0,0.9067242177487976,0.8701559683702541,0.8823126244974925,0.9851494787449988,0.9743589743589743,
EMODB,mobilenetv2,999,0,0.9381579764821752,0.9270469940112797,0.9312224026598732,0.9954743065995901,0.9871794871794872,
EMODB,ResNet50,42,0,0.9332910823633844,0.9304665242165243,0.9312801718920202,0.9963994043008968,0.9935897435897436,
EMODB,ResNet50,42,0,0.9829600888545301,0.9682539682539683,0.9733254039377719,0.9971222247898602,1.0,
EMODB,ResNet50,42,0,0.9368604362411448,0.9381138438281296,0.9362033892123807,0.9948667415658373,1.0,
EMODB,ResNet50,42,0,0.9527984641334383,0.9476423047851619,0.9497317038094684,0.9968219084645408,1.0,
EMODB,ResNet50,42,0,0.9328423355874336,0.9297477324263038,0.9298736457107497,0.990135099201921,1.0,
EMODB,ResNet50,123,0,0.9844946669698841,0.97713529856387,0.9801255078637167,0.999118819181649,1.0,
EMODB,ResNet50,42,0,0.9866263211964633,0.9828278533635677,0.9845012843466826,0.9997173281978036,1.0,
EMODB,ResNet50,999,0,0.9874018131635347,0.9856150793650793,0.9864490212315318,0.9992721904213182,0.9871794871794872,
ESC50,hybrid,42,0,0.9265128381467007,0.923125,0.9224840613113499,0.9989333545918367,0.9375,
ESC50,hybrid,42,0,0.934185436741391,0.930625,0.9297424781244337,0.9978619260204082,0.90625,
ESC50,hybrid,42,0,0.9367753704707691,0.933125,0.9330288823236654,0.9990114795918368,1.0,
ESC50,hybrid,42,0,0.9201404304312486,0.916875,0.916221389160782,0.9968187978316326,0.8125,
ESC50,hybrid,42,0,0.9315157225858905,0.929375,0.9289723404693163,0.9982631138392857,0.96875,
ESC50,mobilenetv2,42,0,0.8453081964472646,0.835625,0.8355588999366174,0.9950797193877553,0.71875,
ESC50,mobilenetv2,42,0,0.854690877373054,0.845,0.8431399687111855,0.9928627232142856,0.71875,
ESC50,mobilenetv2,42,0,0.8578742522199521,0.84875,0.847373775117262,0.9961172672193876,0.875,
ESC50,mobilenetv2,42,0,0.8442812222869827,0.83625,0.8349709990401173,0.9929663584183674,0.5625,
ESC50,mobilenetv2,42,0,0.8612785498903842,0.855625,0.8533160792759878,0.9930990911989797,0.78125,
ESC50,ResNet50,42,0,0.8608054951901489,0.84625,0.846230421906451,0.9931891741071428,0.6875,
ESC50,ResNet50,42,0,0.8556145759773708,0.8475,0.8439838416337763,0.9921715561224489,0.78125,
ESC50,ResNet50,42,0,0.8521542891258511,0.841875,0.839038386803125,0.9908173230229592,0.75,
ESC50,ResNet50,42,0,0.8307539808717935,0.82125,0.8195096842139716,0.9916557716836736,0.8125,
