Dataset,Model,Seed,Val_Accuracy,Precision,Recall,Macro_F1,AUC,Run
EMODB,mobilenetv2,123,95.32710280373831,0.9490272892372705,0.9428909384266527,0.9286547526544734,0.9972350398399359,
EMODB,mobilenetv2,42,92.6791277258567,0.9321927642306296,0.9103472585615443,0.9033367277073286,0.992579423380733,
EMODB,mobilenetv2,999,95.17133956386293,0.9482418529022292,0.9432688673760101,0.9300745880042774,0.9958547799608947,
EMODB,ResNet50,123,100.0,1.0,1.0,1.0,1.0,phase0_emodb_anchor_s123
EMODB,ResNet50,42,100.0,1.0,1.0,1.0,1.0,phase0_emodb_anchor_s42
EMODB,ResNet50,999,100.0,1.0,1.0,1.0,1.0,phase0_emodb_anchor_s999
ESC50,mobilenetv2,123,85.8125,0.8669944602809002,0.858125,0.8570515099726791,0.9950075733418368,
ESC50,mobilenetv2,42,84.75,0.8581072710829661,0.8475,0.8311131407289979,0.993849250637755,
ESC50,mobilenetv2,999,84.625,0.8518960796211158,0.84625,0.8286466625457258,0.9927873883928572,
ESC50,ResNet50,123,74.5,0.7586164946164945,0.745,0.7333801867207438,0.9883354591836736,phase0_esc50_anchor_s123
ESC50,ResNet50,42,75.25,0.762613997113997,0.7525,0.741288324162937,0.9859119897959183,phase0_esc50_anchor_s42
ESC50,ResNet50,999,74.25,0.7541083361083359,0.7425,0.7177883698688651,0.9875127551020408,phase0_esc50_anchor_s999
ITALIAN_PD,ResNet50,123,99.32432432432432,0.0,0.0,0.0,0.9975618904726182,anchor_pd_s123
ITALIAN_PD,ResNet50,42,97.2972972972973,0.0,0.0,0.0,0.9876219054763691,anchor_pd_s42
ITALIAN_PD,ResNet50,999,95.94594594594594,0.9568452380952381,0.9606151537884471,0.9374030734526999,0.9908102025506377,anchor_pd_s999
ITALIAN_PD,mobilenetv2,123,99.32432432432432,0.9942528735632183,0.9919354838709677,0.9930447859391889,0.9934358589647412,
ITALIAN_PD,mobilenetv2,42,99.32432432432432,0.9942528735632183,0.9919354838709677,0.9861215303825956,0.9943735933983496,
ITALIAN_PD,mobilenetv2,999,99.32432432432432,0.9942528735632183,0.9919354838709677,0.9930447859391889,0.9889347336834209,
PHYSIONET,ResNet50,123,93.18541996830429,0.9006641221374045,0.8940583801315354,0.8822057945041816,0.9536022102765849,anchor_phys_s123
PHYSIONET,ResNet50,42,93.6608557844691,0.9194145466405741,0.886175260518334,0.8906947112330961,0.9494729571458602,anchor_phys_s42
PHYSIONET,ResNet50,999,92.55150554675119,0.8879256272401433,0.8900342352623202,0.8775162995695316,0.9609597885822396,anchor_phys_s999
PHYSIONET,mobilenetv2,123,92.23454833597464,0.8952276778479987,0.8662197062974863,0.867571283832682,0.9509594882729211,
PHYSIONET,mobilenetv2,42,91.75911251980983,0.8847505885347077,0.8632015976455749,0.8594028520499108,0.9539325505270428,
PHYSIONET,mobilenetv2,999,91.9175911251981,0.8901150542861773,0.8614823267966005,0.8518306085604191,0.9525811585933512,
PITT,ResNet50,123,65.55023923444976,0.6230895541240369,0.6215663281854246,0.5919429066897886,0.6141563334248148,anchor_pitt_s123
PITT,ResNet50,42,66.02870813397129,0.6213651668197122,0.6088171452808063,0.5842429001439602,0.6335795015094434,anchor_pitt_s42
PITT,ResNet50,999,66.98564593301435,0.6337747440273038,0.6222399640727527,0.5550486618004866,0.6135575459694119,anchor_pitt_s999
PITT,mobilenetv2,123,65.55023923444976,0.6190476190476191,0.6125845163543824,0.5777394670780026,0.6104139118285472,
PITT,mobilenetv2,42,66.98564593301435,0.6408710965597639,0.641700556373344,0.5807173424024976,0.6084054789052169,
PITT,mobilenetv2,999,67.94258373205741,0.643567629293506,0.6191961278411218,0.5977044271761602,0.6558094857912727,
