filepath,label
C:\FYP\PROJECT\product\audio_preprocessing\outputs\spectrograms\1-100032-A-0_noisy.png,dog
C:\FYP\PROJECT\product\audio_preprocessing\outputs\spectrograms\1-100032-A-0_orig.png,dog
C:\FYP\PROJECT\product\audio_preprocessing\outputs\spectrograms\1-100032-A-0_pitchUp2.png,dog
C:\FYP\PROJECT\product\audio_preprocessing\outputs\spectrograms\1-100032-A-0_stretch0.9.png,dog
C:\FYP\PROJECT\product\audio_preprocessing\outputs\spectrograms\1-100038-A-14_noisy.png,chirping_birds
C:\FYP\PROJECT\product\audio_preprocessing\outputs\spectrograms\1-100038-A-14_orig.png,chirping_birds
C:\FYP\PROJECT\product\audio_preprocessing\outputs\spectrograms\1-100038-A-14_pitchUp2.png,chirping_birds
C:\FYP\PROJECT\product\audio_preprocessing\outputs\spectrograms\1-100038-A-14_stretch0.9.png,chirping_birds
C:\FYP\PROJECT\product\audio_preprocessing\outputs\spectrograms\1-100210-A-36_noisy.png,vacuum_cleaner
C:\FYP\PROJECT\product\audio_preprocessing\outputs\spectrograms\1-100210-A-36_orig.png,vacuum_cleaner
C:\FYP\PROJECT\product\audio_preprocessing\outputs\spectrograms\1-100210-A-36_pitchUp2.png,vacuum_cleaner
C:\FYP\PROJECT\product\audio_preprocessing\outputs\spectrograms\1-100210-A-36_stretch0.9.png,vacuum_cleaner
C:\FYP\PROJECT\product\audio_preprocessing\outputs\spectrograms\1-100210-B-36_noisy.png,vacuum_cleaner
C:\FYP\PROJECT\product\audio_preprocessing\outputs\spectrograms\1-100210-B-36_orig.png,vacuum_cleaner
C:\FYP\PROJECT\product\audio_preprocessing\outputs\spectrograms\1-100210-B-36_pitchUp2.png,vacuum_cleaner
C:\FYP\PROJECT\product\audio_preprocessing\outputs\spectrograms\1-100210-B-36_stretch0.9.png,vacuum_cleaner
C:\FYP\PROJECT\product\audio_preprocessing\outputs\spectrograms\1-101296-B-19_noisy.png,thunderstorm
C:\FYP\PROJECT\product\audio_preprocessing\outputs\spectrograms\1-101296-B-19_orig.png,thunderstorm
C:\FYP\PROJECT\product\audio_preprocessing\outputs\spectrograms\1-101296-B-19_pitchUp2.png,thunderstorm
C:\FYP\PROJECT\product\audio_preprocessing\outputs\spectrograms\1-101296-B-19_stretch0.9.png,thunderstorm
C:\FYP\PROJECT\product\audio_preprocessing\outputs\spectrograms\1-101336-A-30_noisy.png,door_wood_knock
C:\FYP\PROJECT\product\audio_preprocessing\outputs\spectrograms\1-101336-A-30_orig.png,door_wood_knock
C:\FYP\PROJECT\product\audio_preprocessing\outputs\spectrograms\1-101336-A-30_pitchUp2.png,door_wood_knock
C:\FYP\PROJECT\product\audio_preprocessing\outputs\spectrograms\1-101336-A-30_stretch0.9.png,door_wood_knock
C:\FYP\PROJECT\product\audio_preprocessing\outputs\spectrograms\1-103298-A-9_noisy.png,crow
C:\FYP\PROJECT\product\audio_preprocessing\outputs\spectrograms\1-103298-A-9_orig.png,crow
C:\FYP\PROJECT\product\audio_preprocessing\outputs\spectrograms\1-103298-A-9_pitchUp2.png,crow
C:\FYP\PROJECT\product\audio_preprocessing\outputs\spectrograms\1-103298-A-9_stretch0.9.png,crow
C:\FYP\PROJECT\product\audio_preprocessing\outputs\spectrograms\1-103995-A-30_noisy.png,door_wood_knock
C:\FYP\PROJECT\product\audio_preprocessing\outputs\spectrograms\1-103995-A-30_orig.png,door_wood_knock
C:\FYP\PROJECT\product\audio_preprocessing\outputs\spectrograms\1-103995-A-30_pitchUp2.png,door_wood_knock
C:\FYP\PROJECT\product\audio_preprocessing\outputs\spectrograms\1-103995-A-30_stretch0.9.png,door_wood_knock
C:\FYP\PROJECT\product\audio_preprocessing\outputs\spectrograms\1-103999-A-30_noisy.png,door_wood_knock
C:\FYP\PROJECT\product\audio_preprocessing\outputs\spectrograms\1-103999-A-30_orig.png,door_wood_knock
C:\FYP\PROJECT\product\audio_preprocessing\outputs\spectrograms\1-103999-A-30_pitchUp2.png,door_wood_knock
C:\FYP\PROJECT\product\audio_preprocessing\outputs\spectrograms\1-103999-A-30_stretch0.9.png,door_wood_knock
C:\FYP\PROJECT\product\audio_preprocessing\outputs\spectrograms\1-104089-A-22_noisy.png,clapping
C:\FYP\PROJECT\product\audio_preprocessing\outputs\spectrograms\1-104089-A-22_orig.png,clapping
C:\FYP\PROJECT\product\audio_preprocessing\outputs\spectrograms\1-104089-A-22_pitchUp2.png,clapping
C:\FYP\PROJECT\product\audio_preprocessing\outputs\spectrograms\1-104089-A-22_stretch0.9.png,clapping
C:\FYP\PROJECT\product\audio_preprocessing\outputs\spectrograms\1-105224-A-22_noisy.png,clapping
C:\FYP\PROJECT\product\audio_preprocessing\outputs\spectrograms\1-105224-A-22_orig.png,clapping
C:\FYP\PROJECT\product\audio_preprocessing\outputs\spectrograms\1-105224-A-22_pitchUp2.png,clapping
C:\FYP\PROJECT\product\audio_preprocessing\outputs\spectrograms\1-105224-A-22_stretch0.9.png,clapping
C:\FYP\PROJECT\product\audio_preprocessing\outputs\spectrograms\1-110389-A-0_noisy.png,dog
C:\FYP\PROJECT\product\audio_preprocessing\outputs\spectrograms\1-110389-A-0_orig.png,dog
C:\FYP\PROJECT\product\audio_preprocessing\outputs\spectrograms\1-110389-A-0_pitchUp2.png,dog
C:\FYP\PROJECT\product\audio_preprocessing\outputs\spectrograms\1-110389-A-0_stretch0.9.png,dog
C:\FYP\PROJECT\product\audio_preprocessing\outputs\spectrograms\1-110537-A-22_noisy.png,clapping
C:\FYP\PROJECT\product\audio_preprocessing\outputs\spectrograms\1-110537-A-22_orig.png,clapping
C:\FYP\PROJECT\product\audio_preprocessing\outputs\spectrograms\1-110537-A-22_pitchUp2.png,clapping
C:\FYP\PROJECT\product\audio_preprocessing\outputs\spectrograms\1-110537-A-22_stretch0.9.png,clapping
C:\FYP\PROJECT\product\audio_preprocessing\outputs\spectrograms\1-115545-A-48_noisy.png,fireworks
C:\FYP\PROJECT\product\audio_preprocessing\outputs\spectrograms\1-115545-A-48_orig.png,fireworks
C:\FYP\PROJECT\product\audio_preprocessing\outputs\spectrograms\1-115545-A-48_pitchUp2.png,fireworks
C:\FYP\PROJECT\product\audio_preprocessing\outputs\spectrograms\1-115545-A-48_stretch0.9.png,fireworks
C:\FYP\PROJECT\product\audio_preprocessing\outputs\spectrograms\1-115545-B-48_noisy.png,fireworks
C:\FYP\PROJECT\product\audio_preprocessing\outputs\spectrograms\1-115545-B-48_orig.png,fireworks
C:\FYP\PROJECT\product\audio_preprocessing\outputs\spectrograms\1-115545-B-48_pitchUp2.png,fireworks
C:\FYP\PROJECT\product\audio_preprocessing\outputs\spectrograms\1-115545-B-48_stretch0.9.png,fireworks
C:\FYP\PROJECT\product\audio_preprocessing\outputs\spectrograms\1-115545-C-48_noisy.png,fireworks
C:\FYP\PROJECT\product\audio_preprocessing\outputs\spectrograms\1-115545-C-48_orig.png,fireworks
C:\FYP\PROJECT\product\audio_preprocessing\outputs\spectrograms\1-115545-C-48_pitchUp2.png,fireworks
C:\FYP\PROJECT\product\audio_preprocessing\outputs\spectrograms\1-115545-C-48_stretch0.9.png,fireworks
C:\FYP\PROJECT\product\audio_preprocessing\outputs\spectrograms\1-115546-A-48_noisy.png,fireworks
C:\FYP\PROJECT\product\audio_preprocessing\outputs\spectrograms\1-115546-A-48_orig.png,fireworks
C:\FYP\PROJECT\product\audio_preprocessing\outputs\spectrograms\1-115546-A-48_pitchUp2.png,fireworks
C:\FYP\PROJECT\product\audio_preprocessing\outputs\spectrograms\1-115546-A-48_stretch0.9.png,fireworks
C:\FYP\PROJECT\product\audio_preprocessing\outputs\spectrograms\1-115920-A-22_noisy.png,clapping
C:\FYP\PROJECT\product\audio_preprocessing\outputs\spectrograms\1-115920-A-22_orig.png,clapping
C:\FYP\PROJECT\product\audio_preprocessing\outputs\spectrograms\1-115920-A-22_pitchUp2.png,clapping
C:\FYP\PROJECT\product\audio_preprocessing\outputs\spectrograms\1-115920-A-22_stretch0.9.png,clapping
C:\FYP\PROJECT\product\audio_preprocessing\outputs\spectrograms\1-115920-B-22_noisy.png,clapping
